movie_id,release_date,year,month,quarter,day_of_week
19995,2009-12-10 00:00:00,2009,12,4,Thursday
285,2007-05-19 00:00:00,2007,5,2,Saturday
206647,2015-10-26 00:00:00,2015,10,4,Monday
49026,2012-07-16 00:00:00,2012,7,3,Monday
49529,2012-03-07 00:00:00,2012,3,1,Wednesday
559,2007-05-01 00:00:00,2007,5,2,Tuesday
38757,2010-11-24 00:00:00,2010,11,4,Wednesday
99861,2015-04-22 00:00:00,2015,4,2,Wednesday
767,2009-07-07 00:00:00,2009,7,3,Tuesday
209112,2016-03-23 00:00:00,2016,3,1,Wednesday
1452,2006-06-28 00:00:00,2006,6,2,Wednesday
10764,2008-10-30 00:00:00,2008,10,4,Thursday
58,2006-06-20 00:00:00,2006,6,2,Tuesday
57201,2013-07-03 00:00:00,2013,7,3,Wednesday
49521,2013-06-12 00:00:00,2013,6,2,Wednesday
2454,2008-05-15 00:00:00,2008,5,2,Thursday
24428,2012-04-25 00:00:00,2012,4,2,Wednesday
1865,2011-05-14 00:00:00,2011,5,2,Saturday
41154,2012-05-23 00:00:00,2012,5,2,Wednesday
122917,2014-12-10 00:00:00,2014,12,4,Wednesday
1930,2012-06-27 00:00:00,2012,6,2,Wednesday
20662,2010-05-12 00:00:00,2010,5,2,Wednesday
57158,2013-12-11 00:00:00,2013,12,4,Wednesday
2268,2007-12-04 00:00:00,2007,12,4,Tuesday
254,2005-12-14 00:00:00,2005,12,4,Wednesday
597,1997-11-18 00:00:00,1997,11,4,Tuesday
271110,2016-04-27 00:00:00,2016,4,2,Wednesday
44833,2012-04-11 00:00:00,2012,4,2,Wednesday
135397,2015-06-09 00:00:00,2015,6,2,Tuesday
37724,2012-10-25 00:00:00,2012,10,4,Thursday
558,2004-06-25 00:00:00,2004,6,2,Friday
68721,2013-04-18 00:00:00,2013,4,2,Thursday
12155,2010-03-03 00:00:00,2010,3,1,Wednesday
36668,2006-05-24 00:00:00,2006,5,2,Wednesday
62211,2013-06-20 00:00:00,2013,6,2,Thursday
8373,2009-06-19 00:00:00,2009,6,2,Friday
91314,2014-06-25 00:00:00,2014,6,2,Wednesday
68728,2013-03-07 00:00:00,2013,3,1,Thursday
102382,2014-04-16 00:00:00,2014,4,2,Wednesday
20526,2010-12-10 00:00:00,2010,12,4,Friday
49013,2011-06-11 00:00:00,2011,6,2,Saturday
44912,2011-06-16 00:00:00,2011,6,2,Thursday
10193,2010-06-16 00:00:00,2010,6,2,Wednesday
534,2009-05-20 00:00:00,2009,5,2,Wednesday
168259,2015-04-01 00:00:00,2015,4,2,Wednesday
72190,2013-06-20 00:00:00,2013,6,2,Thursday
127585,2014-05-15 00:00:00,2014,5,2,Thursday
54138,2013-05-05 00:00:00,2013,5,2,Sunday
81005,2013-02-27 00:00:00,2013,2,1,Wednesday
64682,2013-05-10 00:00:00,2013,5,2,Friday
9543,2010-05-19 00:00:00,2010,5,2,Wednesday
68726,2013-07-11 00:00:00,2013,7,3,Thursday
38356,2011-06-28 00:00:00,2011,6,2,Tuesday
217,2008-05-21 00:00:00,2008,5,2,Wednesday
105864,2015-11-14 00:00:00,2015,11,4,Saturday
62177,2012-06-21 00:00:00,2012,6,2,Thursday
188927,2016-07-07 00:00:00,2016,7,3,Thursday
10681,2008-06-22 00:00:00,2008,6,2,Sunday
5174,2007-08-08 00:00:00,2007,8,3,Wednesday
14161,2009-10-10 00:00:00,2009,10,4,Saturday
17979,2009-11-04 00:00:00,2009,11,4,Wednesday
76757,2015-02-04 00:00:00,2015,2,1,Wednesday
258489,2016-06-29 00:00:00,2016,6,2,Wednesday
411,2005-12-07 00:00:00,2005,12,4,Wednesday
246655,2016-05-18 00:00:00,2016,5,2,Wednesday
155,2008-07-16 00:00:00,2008,7,3,Wednesday
14160,2009-05-13 00:00:00,2009,5,2,Wednesday
15512,2009-03-19 00:00:00,2009,3,1,Thursday
1726,2008-04-30 00:00:00,2008,4,2,Wednesday
44826,2011-11-22 00:00:00,2011,11,4,Tuesday
8487,1999-06-29 00:00:00,1999,6,2,Tuesday
1735,2008-07-01 00:00:00,2008,7,3,Tuesday
297761,2016-08-02 00:00:00,2016,8,3,Tuesday
2698,2007-06-09 00:00:00,2007,6,2,Saturday
137113,2014-05-27 00:00:00,2014,5,2,Tuesday
9804,1995-07-28 00:00:00,1995,7,3,Friday
14869,2009-08-04 00:00:00,2009,8,3,Tuesday
150540,2015-06-09 00:00:00,2015,6,2,Tuesday
278927,2016-04-07 00:00:00,2016,4,2,Thursday
10138,2010-04-28 00:00:00,2010,4,2,Wednesday
58595,2012-05-30 00:00:00,2012,5,2,Wednesday
102651,2014-05-28 00:00:00,2014,5,2,Wednesday
119450,2014-06-26 00:00:00,2014,6,2,Thursday
79698,2015-02-13 00:00:00,2015,2,1,Friday
64686,2013-12-06 00:00:00,2013,12,4,Friday
100402,2014-03-20 00:00:00,2014,3,1,Thursday
10192,2010-05-16 00:00:00,2010,5,2,Sunday
158852,2015-05-19 00:00:00,2015,5,2,Tuesday
177572,2014-10-24 00:00:00,2014,10,4,Friday
82690,2012-11-01 00:00:00,2012,11,4,Thursday
5255,2004-11-10 00:00:00,2004,11,4,Wednesday
47933,2016-06-22 00:00:00,2016,6,2,Wednesday
10191,2010-03-05 00:00:00,2010,3,1,Friday
296,2003-07-02 00:00:00,2003,7,3,Wednesday
118340,2014-07-30 00:00:00,2014,7,3,Wednesday
157336,2014-11-05 00:00:00,2014,11,4,Wednesday
27205,2010-07-14 00:00:00,2010,7,3,Wednesday
315011,2016-07-29 00:00:00,2016,7,3,Friday
49051,2012-11-26 00:00:00,2012,11,4,Monday
9799,2001-06-22 00:00:00,2001,6,2,Friday
4922,2008-11-24 00:00:00,2008,11,4,Monday
49538,2011-05-24 00:00:00,2011,5,2,Tuesday
131634,2015-11-18 00:00:00,2015,11,4,Wednesday
27022,2010-07-13 00:00:00,2010,7,3,Tuesday
503,2006-05-12 00:00:00,2006,5,2,Friday
241259,2016-05-25 00:00:00,2016,5,2,Wednesday
810,2007-05-17 00:00:00,2007,5,2,Thursday
68735,2016-05-25 00:00:00,2016,5,2,Wednesday
87101,2015-06-23 00:00:00,2015,6,2,Tuesday
10140,2010-08-13 00:00:00,2010,8,3,Friday
676,2001-05-21 00:00:00,2001,5,2,Monday
1858,2007-06-27 00:00:00,2007,6,2,Wednesday
1966,2004-11-21 00:00:00,2004,11,4,Sunday
675,2007-06-28 00:00:00,2007,6,2,Thursday
674,2005-11-05 00:00:00,2005,11,4,Saturday
8960,2008-07-01 00:00:00,2008,7,3,Tuesday
6479,2007-12-14 00:00:00,2007,12,4,Friday
118,2005-07-13 00:00:00,2005,7,3,Wednesday
2062,2007-06-22 00:00:00,2007,6,2,Friday
272,2005-06-10 00:00:00,2005,6,2,Friday
10527,2008-10-30 00:00:00,2008,10,4,Thursday
18360,2009-05-20 00:00:00,2009,5,2,Wednesday
2080,2009-04-28 00:00:00,2009,4,2,Tuesday
